k,inertia,silhouette_score
2,18494.06865657607,0.30345691157278915
3,16005.911069141746,0.2114524137616656
4,14109.137939434322,0.21216352592031285
5,12463.530563997901,0.2232827051214918
6,11686.0772196591,0.19126686978155813
7,10977.324186556705,0.17129527034689057
8,10399.582875539372,0.17636196126434436
